evaluation_id	dataset	mode	query_id	query_text	relevant_docs	average_precision	recall	precision_at_10	ndcg
20260625T140409Z	argsme_touche2022	bm25	21	Is human activity primarily responsible for global climate change?	107	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	22	Is a two-state solution an acceptable solution to the Israeli-Palestinian conflict?	92	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	23	Should euthanasia or physician-assisted suicide be legal?	124	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	24	Does lowering the federal corporate income tax rate create jobs?	53	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	25	Should education be free?	107	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	26	Do standardized tests improve education?	108	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	27	Should more gun control laws be enacted?	103	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	28	Should prostitution be legal?	127	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	29	Should the government allow illegal immigrants to become citizens?	126	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	30	Should adults have the right to carry a concealed handgun?	108	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	31	Is obesity a disease?	89	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	32	Do electronic voting machines improve the voting process?	61	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	33	Should people become vegetarian?	91	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	34	Are social networking sites good for our society?	93	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	35	Do violent video games contribute to youth violence?	116	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	36	Is golf a sport?	108	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	37	Is cell phone radiation safe?	77	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	38	Should marijuana be a medical option?	120	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	39	Should the federal minimum wage be increased?	135	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	40	Should the death penalty be allowed?	131	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	41	Should student loan debt be easier to discharge in bankruptcy?	77	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	42	Should fighting be allowed in hockey?	80	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	43	Should bottled water be banned?	98	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	44	Should election day be a national holiday?	43	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	45	Should the penny stay in circulation?	107	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	46	Should net neutrality be restored?	118	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	47	Is homework beneficial?	98	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	48	Should the voting age be lowered?	97	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	49	Should body cameras be mandatory for police?	113	0.0	0.0	0.0	0.0
20260625T140409Z	argsme_touche2022	bm25	50	Should everyone get a universal basic income?	61	0.0	0.0	0.0	0.0
